PROTID	Chip2_11cells_A10	Chip2_11cells_A11	Chip2_11cells_A12	Chip2_11cells_B10	Chip2_11cells_B11	Chip2_11cells_B12	Chip2_1cell_A3	Chip2_1cell_A4	Chip2_1cell_A5	Chip2_1cell_A6	Chip2_1cell_B3	Chip2_1cell_B4	Chip2_1cell_B5	Chip2_1cell_B6	Chip2_3cells_A7	Chip2_3cells_A8	Chip2_3cells_A9	Chip2_3cells_B7	Chip2_3cells_B8	Chip2_3cells_B9
Q99104	4022907.80	3029780.00	3199866.50	4965727.00	4826164.00	3565805.50	34093.30	337548.62	281162.56	211813.16	191582.77	393027.00	169873.39	21629.03	383758.06	422870.10	646030.90	451213.03	1078939.80	426325.88
Q6P5F9	4020288.00	6481695.00	7092854.50	10727890.00	10805641.00	3999879.00	72199.31	107599.06	105583.53	517739.28	805608.50	762281.56	586409.80	20343.02	1312573.60	1439326.50	2157598.00	1215087.50	1380155.80	1533530.20
P61967	4014365.80	4260704.00	4099841.00	5095725.50	5617449.00	3766748.50	170532.92	420254.88	281378.00	226688.10	541423.56	493260.25	291690.72	93507.92	906628.00	926467.60	1201032.50	988112.25	1798288.40	891857.75
O55125	4013510.00	3468707.20	3389217.80	2730163.80	2560715.50	3373781.20	221260.83	274180.20	218293.90	244313.53	551380.90	340607.53	233441.67	134626.92	719313.90	1000017.56	1171288.40	378332.53	650143.50	1231556.00
Q99J21	4000409.80	5253996.50	3504320.00	4582959.50	6181193.00	6231399.00	724571.56	204195.83	434964.44	219214.77	310317.75	297874.84	185550.27	54388.44	1154251.50	2635324.00	1459251.50	453698.72	1301594.60	2356099.80
Q8VDP4	3998359.50	5965804.00	4521335.50	5658589.50	5990611.50	4735912.50	277181.66	253969.94	474729.94	213306.00	161904.25	446456.90	252408.72	128273.28	960948.10	1161464.80	1506370.50	1210992.00	964359.90	285191.20
Q9D8T7	3982078.80	9594914.00	7234138.50	5960006.00	8488390.00	8424324.00	1062315.20	799275.30	665624.60	600060.70	1157401.10	165059.45	319869.50	128500.23	1848887.20	2483679.00	1661484.40	467828.44	2207866.00	1156357.50
Q9D071	3967534.00	4424486.50	4521861.00	5115215.50	4557936.50	4618298.00	354164.62	432394.50	383262.50	273168.03	576829.70	485290.28	413427.62	211753.06	1108447.80	945573.50	1456837.00	769008.00	975966.94	955004.50
Q9WVL3	3957558.20	5105304.50	4612634.50	4329522.00	6442525.50	3626460.00	373144.75	303477.38	698067.56	69604.79	577123.90	354127.90	290204.03	197450.03	1253502.80	667730.80	2684087.00	634962.20	899532.60	1293370.10
Q924Z4	3954809.50	0.00	0.00	0.00	0.00	0.00	555307.00	0.00	0.00	0.00	0.00	0.00	0.00	304394.75	1442258.40	0.00	0.00	0.00	0.00	0.00
P02468	3945001.00	5288551.50	5193868.00	5212032.00	6524962.00	4601566.00	572071.40	565548.06	662897.75	310892.62	101312.51	243501.80	398599.62	201098.50	943648.06	1177479.90	2612538.00	1665520.90	820850.00	1230538.60
O55126	3939705.80	2681398.00	3483712.80	2571724.00	3118987.20	3343355.20	0.00	223777.55	149886.56	252545.30	313078.75	267147.78	144607.77	215953.81	725118.25	0.00	1020472.20	368189.62	735689.20	1319195.20
