"","05J_C10_A10","05J_C10_A11","05J_C10_A2","05J_C10_A4","05J_C10_A5","05J_C10_A6","05J_C10_A7","05J_C10_A9","05J_C10_B1","05J_C10_B10","05J_C10_B11","05J_C10_B2","05J_C10_B3","05J_C10_B4","05J_C10_B5","05J_C10_B6","05J_C10_B9","05J_C10_C1","05J_C10_C11","05J_C10_C2","05J_C10_C8","05J_C10_D1","05J_C10_D11","05J_C10_D2","05J_C10_D3","05J_C10_D7","05J_C10_D8","07J_SVEC_A1","07J_SVEC_A10","07J_SVEC_A2","07J_SVEC_A3","07J_SVEC_A4","07J_SVEC_A7","07J_SVEC_A9","07J_SVEC_B1","07J_SVEC_B10","07J_SVEC_B11","07J_SVEC_B2","07J_SVEC_B3","07J_SVEC_B4","07J_SVEC_B5","07J_SVEC_B6","07J_SVEC_B7","07J_SVEC_B9","07J_SVEC_C10","07J_SVEC_C11","07J_SVEC_C3","07J_SVEC_C4","07J_SVEC_C5","07J_SVEC_C6","07J_SVEC_C8","07J_SVEC_C9","07J_SVEC_D2","07J_SVEC_D3","07J_SVEC_D6","07J_SVEC_D8"
"Copg1",20.2285723958965,20.4703663464181,20.3607015078417,20.0454018259615,20.1424799622432,20.4572881646432,20.335347950632,20.1351198051466,20.4256785183093,20.3190066585995,20.4207282842899,20.4441199479562,20.4549594137131,20.5510544622202,20.8759673845714,20.4248698859374,20.4924539466155,20.1141462774858,20.3104860479426,20.2238940259551,19.3406876880313,20.6558737552582,20.4572687989171,20.0465997719896,20.2228292454796,20.3088715427568,19.1889172153262,15.989834238244,17.3096111226758,16.2285530601224,14.9191634613981,14.1098383116472,17.9809057555183,14.6714848824343,17.5245034701979,17.4434436963912,15.449184391591,17.7615544011752,13.7168215433105,16.4165439540536,14.1492302168659,17.4807562662973,17.5151997601227,15.6918510138936,17.8321179301428,16.4472063134291,13.6447082506837,15.7877324736154,13.6142091624117,13.4699038005416,16.3341229307833,17.8534579601591,17.7092266574275,16.0908224017014,15.6432093347478,13.8938375177332
"Cops2",19.1964586880928,19.1051891649771,19.028813203145,19.6400347988438,17.6273672693846,17.5915075499662,19.3183307025559,19.4355422464056,19.4352493250135,19.0168060191539,19.1275726854006,19.3312092321824,19.0341475878965,18.4728024341079,17.8562969096039,18.5786905993937,19.2886713848677,19.1404540832258,19.0606366984484,17.9985918441703,19.4125077577119,19.1993078789526,17.1602181304134,19.4401724177255,19.2304763926425,18.8017065647739,18.850509996249,15.6600731741081,17.2137926696221,15.5368355573166,17.6639136826096,15.7297496132712,15.3079840124883,16.2222429114371,16.2834695972549,15.5075752618024,15.6143122898337,14.9997712735904,15.1495892402872,15.9706649430744,15.2311518057946,15.4351744486072,15.8850265394742,16.0051596752929,16.9578000967634,15.2814460971854,17.7965853430993,15.6951833466082,15.8516289023989,16.2754519557115,15.6747024237658,15.4503686046489,15.4534544499744,15.3065733242162,15.4379234570694,15.853269184794
"Cops3",18.4476988887443,18.7498839984971,18.7503627158849,18.7769474988516,18.5899385178392,18.8657319480687,18.8027747336669,18.7080254583302,18.6104758662276,18.7689245964711,18.5544478345845,18.7096803167805,18.6703381361116,18.5403954051514,19.0656430965234,18.9049912161296,18.5187441365847,18.4588247679905,18.5773119054152,18.6549268720326,18.7568384739095,18.7376734982213,18.752419188065,18.7758907941367,18.5816499114959,18.7735644896151,18.611150998798,17.0826944954864,16.7069397063719,14.9359301696443,16.592723962518,16.6770236712386,17.3271078145494,17.1725584875465,17.1687516600207,16.5490692651654,15.0188404930563,16.7940380696862,18.1121561055199,16.500214538714,16.8333388795947,16.8870443127111,17.0060435340584,17.0786742907347,16.8079484710365,16.3672378569532,14.3413593036386,15.3984722792601,16.6326393068786,16.9849052319899,16.8598638135259,15.7358140638209,15.4099953372279,16.8631882549772,17.606262489877,16.7960132683798
"Cops4",18.0805015357136,18.8638510733805,19.0258876184879,18.9831646966935,19.0523493999756,18.456731186873,19.1184058489558,19.1045613040385,19.0609293626979,18.8534742004834,19.1823756805248,19.0484607900076,19.0452993498276,19.1204484098298,17.5517251841656,18.950978552957,18.7521674983887,18.9137988541413,19.006771292051,19.0747752582381,18.9388491554952,18.9372473956998,18.2334660291534,19.1291767116377,18.7459600343796,19.1331753620063,18.9285276075782,15.9785398102974,16.4475137806673,17.2506276216921,16.0523573464878,16.5635857720177,14.5764525500046,16.8493535321747,14.9512740502675,16.6800167553538,16.5149226364126,15.5217027288099,17.4490304476586,16.464855812825,16.5703684249848,15.0896456545921,17.6703875200474,16.5285292212335,16.9539564005315,15.6687629303252,16.5460769513661,17.0311093239554,16.4874802622531,16.0595385382126,16.1327583827902,15.5738117138706,16.9974566230831,16.8640445370653,16.736652355962,16.3997778724605
"Cops5",16.8306482932509,18.0420773094322,17.1205919531735,18.0827577042922,18.0628417206993,17.3093698265654,18.0531158144881,18.087892220148,18.0346169920175,17.8602225562422,18.1499393189926,18.0288166626454,18.2427584643511,17.9298448923426,17.7576726504144,18.2852709640506,17.7863514173225,18.0596794603478,18.0888779085897,18.1253571004586,18.0257312732874,17.9023538027074,17.2733474384157,19.0661950178579,17.7174466747494,18.1223056529087,18.08911512979,15.6491371485418,16.2269288653155,16.4264207402673,15.9660783293555,16.677101685558,15.0414297392484,17.7806830531534,16.3893741795938,16.0819289642994,15.6327233041699,14.9167524560087,16.7516224403909,16.7815028772494,15.5673333301071,15.8827117694696,17.3266977296306,16.7836038963648,16.6488385455877,14.6894073727535,16.2862940961288,16.4231586729188,16.2798173597922,17.2649405124013,15.4953392405037,15.7670774809991,16.1919276093095,16.2578979463802,17.0514588963201,16.9270799743816
"Cops7a",18.3554921182993,18.2322477080495,18.4088931008927,18.4109793369533,18.4791088305794,18.6986006018807,18.3453609215497,18.4377691916756,18.2804553751648,18.1902508332241,18.497665480517,18.2102375066362,18.4353417276801,18.1751083339459,18.3370627534333,18.3609106368405,18.0075062588802,18.1804746256402,18.3616143044088,18.5759681012306,18.7459972544551,18.2310513706656,18.6509791976747,18.1635981932349,17.9914139896621,18.4953272794238,18.4253731080925,17.1301479227712,16.2769812163556,15.457030816157,16.9040278207466,16.2491419680586,16.5075893214381,15.1853378488511,16.7650780319641,15.9862442998383,16.9377208817247,16.2886316614205,16.3870915820123,16.7697739908937,16.4718890799179,16.0978604692965,16.409076775844,16.2272418442397,16.2106161848578,16.7137831004503,16.1578625819262,16.5771219941525,15.7986249406994,16.4142990990701,15.3144682053735,17.1429714590604,16.390497645201,16.5238098043321,16.8248431148569,15.316669807933
"Coro1b",20.4817946289924,21.2533625698656,19.8962432301186,20.2466629407986,19.9002197453804,20.4573993450969,20.5524898601575,20.8240925172945,20.5733243729774,20.8247455998091,20.7738425899417,19.6170490233383,20.7655058387238,20.2208462575318,20.4103197158195,21.0978616726352,20.8804254002157,20.1863450410908,21.0934488598433,19.8466238207471,20.4991266099176,20.4168554473623,20.5451479677629,20.6331772001433,20.1038148158923,20.1906306080953,20.4618055455848,18.6203517046823,19.1978577842843,18.4585487284109,18.716833087303,18.2332974218742,18.7018570542301,18.4030317304246,18.3562158468275,18.4727306161014,18.2117950664712,18.5056437609615,18.5164291689553,19.3442511348951,18.549405823296,18.7693664885895,18.8184292071289,18.7265416466096,18.8416099446581,17.9602216033099,18.0392072521245,18.6955469673754,18.5801958988924,18.7538730480193,18.9977431545983,18.5432380457719,18.9957243492588,18.9762618990578,18.9389166647948,18.5722778100016
"Coro1c",19.1922857734843,19.683045696059,20.144340221321,19.7806098496719,19.3849284401622,19.4250071024044,19.4829044765158,19.6247901724664,19.4716000745468,19.7490103294688,19.9432837674258,19.9435162638895,19.9371623578568,18.9395798630141,19.9365699023988,19.827316414893,20.1482420247742,19.3773966569459,19.8250194588531,19.1501372164685,19.8853186903079,19.8192601480477,19.5844006217151,20.0035774112774,20.1019165158632,20.1094810709636,20.1731734192052,17.3345401537537,17.1568991071659,16.9766208103947,17.3507661114169,18.1995886854476,17.3518869657877,16.520150945226,17.0960897331965,17.2036405052358,15.8804220753457,16.5222093892398,17.2421164660636,17.1197721966072,17.2101481837427,17.7379394077673,17.2169937693899,17.3024718423382,17.7191480315398,16.7878599472587,17.4344432225635,17.3065932990196,17.0620550094553,17.3089056993281,17.5774104820274,17.1130031380036,17.2204687649759,17.5534888839568,16.7898073857773,17.1958405858619
"Cotl1",20.6856826099045,20.2330384291376,20.3305062558286,20.3891908381459,19.1408578928826,19.0130178950739,20.6988675288962,19.563690249116,19.7566863964806,19.9237050802777,18.8745510631801,19.3581545795761,21.2648519556826,20.7816264009293,21.4909636830465,21.4001654262102,20.0583956890074,18.7863865790195,19.6531753486422,19.4889353177192,19.9941816897214,20.463001193572,21.0891967083034,20.0271666866729,19.5900048408949,19.0952893745418,18.6450641568,17.9308378844536,17.8429315543547,18.4317577366353,18.4761192624685,17.8663916318355,19.8631660533078,19.323746375191,16.6572638304356,17.5865630376815,18.6554736184578,18.740605532077,17.2882094668089,18.3738814814181,17.8525855828833,18.4864152856026,18.5659177821384,17.4814773535564,18.1579112791304,17.250833561098,17.4259661093959,18.2466933518424,18.6377721482314,17.8041123729254,18.4222729706786,18.6727034249488,18.2895959799769,17.5304381937313,17.3345834648702,18.2308323865716
"COX2",18.6672219685546,21.1284254695709,21.0637574883302,20.7952303210568,20.8208489372192,21.5342389493553,21.3736664849285,21.6625675385456,18.8518767238365,20.8353760485353,18.9479034967629,21.6211909004457,18.9069082812615,20.9004846268691,21.7762858651128,18.9747461421549,21.3765313191261,21.1511277940923,18.5442269378006,21.12968630806,20.9145708531818,21.5091611710128,19.1785610259758,19.0439856077575,21.0254621613585,20.925676612712,20.8984067641228,19.5840037839535,17.0331808984869,19.5521154881786,19.4748095626657,19.6189817942265,15.0285944765738,16.3022572506645,15.7500185767152,19.4904591404671,18.1403418406365,16.5940268825803,16.7075872366966,16.5720974887315,17.0704173329395,19.3220495692049,17.8780654681986,19.4127403303341,19.399252921665,15.6376576644288,16.3267110641155,19.3931574462919,16.2587058609393,18.9852072605729,19.990512918422,17.7488026486147,19.0732323464647,19.2433889401012,19.304655445817,17.2314172061719
"Cox5a",21.2524366091261,20.7706881456601,21.2757525301697,20.3363298135766,20.9372669514962,21.2435053745542,21.1319911176502,21.1004063277664,20.7692143054677,20.8066308756924,20.9849144312221,20.7764767827875,21.5981492041908,21.3468107070004,20.8043813964944,21.5002544793038,21.1244492904244,21.0599552430793,20.6304954849268,21.1086779650979,20.5901847897152,21.1270753485958,20.9603751357162,20.6799232583425,21.0126595286875,21.1616605529469,20.8187191852821,18.5384242608962,18.159041092348,18.4863751610273,18.9437068811377,18.5414568720601,17.486497454114,17.9986629352731,18.1083795353243,17.2342947038429,19.2413228743871,18.1779085817187,18.9186702206964,18.3891021154117,18.6477814815947,17.5353013724768,18.9851524533656,17.839340941619,17.6553690236245,17.5130290101051,17.7679704900084,18.5638457750314,17.731725945929,18.2234284985263,19.252006595103,17.6785665760974,18.8917719066388,19.2076251721411,18.7201182589587,19.0916872070812
"Cox5b",20.1171834986641,20.3174080970279,20.4272185258148,20.2443347393257,20.0309680600187,20.2527277960322,20.7458382348114,20.6166642238437,20.1308985997981,20.4507436366036,20.4246976104452,20.5677979267,20.656655228383,20.3206487541512,19.8826074886333,21.3645766389301,20.7283157124311,20.1502987956403,20.4967192913563,19.988516075855,20.5550009920545,20.2509107570824,20.2197464404012,20.5431518885703,20.6790998468833,20.1890686324509,20.6288486120175,17.4489650251983,14.9967579979884,17.70537072315,17.3219125847344,17.3704107477998,16.0168202608814,17.0894077672985,14.5073895327692,14.556411151024,17.9422066842629,16.4817082630523,16.3814293935988,14.6634611324617,17.0444537237978,16.2392299886945,15.8064868986082,15.8113950060344,15.6738236815,16.3865365646416,14.6946734035844,16.3852873749647,15.0765380449916,16.2041278807977,16.9654543576403,15.7958612826556,16.1609021279819,15.3361100177586,15.2564350961657,17.173774494685
"Cox6b1",21.5449043448052,21.7521532600176,21.5870433833871,21.2992807523537,18.8992080192647,21.2433950884067,21.1682899628741,21.7393494499239,20.4200950683627,21.3632934737673,21.657144880094,21.4411223192208,22.0207525008404,21.7801515843916,21.0092588893228,22.0643699804686,20.7332804239366,21.3846793630073,21.5477818232667,21.8277708387256,19.037836731772,21.5897257400117,20.9372521262031,20.9968227143784,21.6469472166762,20.8054998393825,21.4316309329158,18.1927779523287,16.5228011515561,17.7167777748991,18.4232759881737,18.7608289924531,17.2190188631891,18.4678058115247,17.4474691342979,16.2553472839485,19.0913684061353,17.2413113055968,18.5356934594528,16.821592537952,18.5128898107019,17.4757806501256,18.9167834522365,16.9868311356059,17.2435209645777,17.8097356476494,16.9239609823801,17.3984335906094,17.7950802969897,19.2848964969529,17.5062241040988,17.7638613821595,17.7777458000064,19.3936207509826,18.8276376868215,17.8084098089187
"Cox6c",20.1387575898357,20.473662325458,20.0508884146371,20.3273020236713,19.9742134997613,20.0126039979713,20.4967654023948,19.9717796346905,19.4439126014365,20.1991017657519,19.8172772575293,20.1839510078782,20.4973200772347,20.1752388416553,19.9660412041195,20.7524812311434,20.435464113015,20.4274873858236,19.8082895197404,19.9487221396761,19.8930579765584,20.4717838553508,19.7037804771309,19.7982271004415,20.2172584474854,20.0877620167632,19.9090608789674,17.5332252197498,17.4130955508565,16.7429973517698,16.9738690544249,16.6886968642855,15.905757116258,16.8153293644518,15.0444346567085,15.0993947128715,16.3743452695329,16.1728970327201,17.267028813778,15.1818251799905,17.0728831365656,15.339383545788,15.2374280436911,15.7865740818029,16.2679343013596,15.2952607349669,16.9298544136154,15.9539309676854,16.2391919899132,16.1856861866655,17.1155416427332,15.3302224152623,16.4254127661819,16.7877389166901,16.8865714285742,16.7411315079235
"Cox7a2",18.0334310746426,17.8950006060898,18.0653259620336,17.5827101808424,17.5611443185782,18.3063378151401,19.6912791517341,17.8139183221595,17.5133359210086,17.626681456015,17.8675178582985,17.7570906452917,18.3989725764494,18.1381811834251,18.119953478032,18.148181634063,17.8362374790997,17.9022565673054,17.9361472122463,18.8269612013768,17.7421795904808,18.0821544796345,18.1710803596103,17.9304979465194,17.694695107823,17.8716646917542,17.53428339251,14.9823242159746,15.3322200374857,15.4633614964639,15.2525332135333,15.4535503364325,15.366329418341,14.3563781433165,14.2019015380666,14.1663375422571,15.3182965344131,15.0545772374049,15.258810957898,15.3067865225712,15.2749486469415,15.0397939375218,15.8665578754061,15.1554854463031,15.144332528408,16.6408021920962,15.009430412235,14.6594531596227,15.1221619503219,14.6897783532578,16.3969676161505,14.4537502323755,14.3591061023718,16.3086456128936,15.8313261309308,15.8751432353989
