"","05J_C10_A10","05J_C10_A11","05J_C10_A2","05J_C10_A4","05J_C10_A5","05J_C10_A6","05J_C10_A7","05J_C10_A9","05J_C10_B1","05J_C10_B10","05J_C10_B11","05J_C10_B2","05J_C10_B3","05J_C10_B4","05J_C10_B5","05J_C10_B6","05J_C10_B9","05J_C10_C1","05J_C10_C11","05J_C10_C2","05J_C10_C8","05J_C10_D1","05J_C10_D11","05J_C10_D2","05J_C10_D3","05J_C10_D7","05J_C10_D8"
"Nenf",16.7038299598419,18.6728183663141,17.1550374104285,17.2622831499107,15.838801488593,17.1760990777378,18.0577872803618,16.8528967005217,18.0238663818333,18.2225368411889,18.6839529173122,17.6864774017776,19.4090078652626,16.9116140299257,16.4932785843994,18.7263339906583,17.8291882183255,16.6848114420005,17.6508234421024,16.7227407419374,16.4942711668537,18.5139246354719,17.161977989778,18.640708615206,18.3530340486025,18.1399806706267,18.4159089132602
"Neo1",15.2758362871341,14.718318697899,15.2048799423441,15.5723859139151,15.2901337607698,15.4683631670666,15.3639010620012,14.3095868365444,15.5894693463532,15.8980209858185,15.2787736952368,15.0117861269308,16.1654358397821,14.7248526623883,15.5378404791611,16.5363827854042,15.6344465586797,15.3974990372889,16.2334270881724,15.3433436859988,15.0661254118575,15.8799070361568,15.3295289823477,16.1718699352494,15.6200868840714,16.2785253273157,15.8360350779359
"Nfic",17.2848872808084,16.743177855657,17.0006211712495,17.2832694471993,17.2115013383415,16.6423054851077,16.9770689716402,17.1044793608517,17.5503211568215,17.2630719863959,16.6686961013267,17.339262219325,16.7208189461847,17.2526053450358,16.6708342209398,16.7760239377599,16.9307095387322,17.6160612335776,17.1034252768811,17.9466113074277,17.7720356924265,17.3800244061752,17.6424424961901,17.7820887072122,16.8858934592362,17.8244339938008,17.360269969425
"Nfs1",16.4494255630985,15.4897843036444,15.5916751244116,15.1817819317823,15.2530803565322,15.4540779226297,15.7206135872506,14.859271357914,15.3480992060943,14.9766429469314,15.3886114320217,14.9871647188226,15.1183074165247,15.3994440457746,15.5674007245486,15.3731451332962,16.4881070012737,15.2168135569598,16.4134779128523,15.1479831196006,15.3424603574062,15.0353548009117,15.1544478287629,15.5543343163175,16.2690693913835,15.4154238872019,15.4377132585628
"Nfu1",20.7631349449265,20.7628512914077,20.7478810079102,20.227453346881,21.0649373135079,20.219698030134,20.1921140379835,20.4332800423982,20.9875079268566,19.7611348495586,20.2479080912749,20.5225929064357,19.6576321162968,20.9054643873942,20.3371288920947,19.5752553780478,20.4816352486765,21.4244509889551,20.6220132523254,21.7641169960801,20.4298194318367,21.1703875852009,20.7731261174082,20.3310389255109,21.0144383887706,21.0783961169202,19.9612230155101
"Nhlrc2",14.8397906284329,16.5151232682995,17.0736715189269,16.9492293115922,16.6623398693941,15.6358712846606,16.5523742292426,16.880779834315,16.5888446248657,16.6192230118751,16.6091634367228,16.5446594951429,16.7225701840412,16.3370469893501,15.2340930455665,16.7311680033559,14.9029023865056,17.3262917960722,16.4493335112394,16.3079876069737,14.6986095232062,16.7584561811306,15.8401883510306,17.0521109492476,16.537284247025,16.4329850826717,14.445816626124
"Nhp2",15.3680449658829,15.5801572401289,15.8691330734848,16.2269864572428,15.9914511192145,15.8200207848106,15.8771270951963,15.6513793427005,15.9470226747925,15.4348077134514,15.0219667265007,15.2589441811348,14.9690360611348,15.848991871086,15.0344975555219,15.0814103536599,15.1421868274873,16.1048307592419,15.4052317512408,16.3455414464076,16.3700606303607,15.4808958647435,15.8024328090615,15.7958231608612,15.5738680875787,15.295708099661,15.8915301483854
"Niban1",19.8455773561083,19.8648310363466,19.9013873872188,20.135351255434,18.4262949483126,19.3803420474942,20.4083643469373,19.6864560506781,20.2323901182357,20.1705386607163,20.2872884352837,20.1752000910986,19.8631424491188,18.8217949042952,19.3351481713582,20.5934609552703,18.8317153053093,18.8144692087538,18.6397750333553,18.7519934910439,19.5733661888779,20.3103852678842,18.7492114248864,19.1452164197809,20.8084336193719,19.5909766162411,19.8723094411312
"Niban2",19.8151133201907,19.2292833303303,19.121828259052,19.6798936183147,19.7229144284366,18.7956270718697,18.6214454871609,19.3398943519756,19.3099765420624,19.5339105546505,19.8038717634684,19.5208209512637,18.6255239987109,19.5290337106868,19.1137773992885,19.0227798135635,18.3172406833346,19.364020483431,19.1231069407219,18.9369255252062,19.6948040749314,19.4982171709994,20.0461391332758,19.6624129921162,18.709928705939,19.5890303386151,19.3054183889673
"Nif3l1",21.5052910915532,16.9969038172097,21.228635625386,17.022332134536,17.3745092920159,16.2940770260143,16.9465971537196,17.4718817761306,17.5073250905981,21.0780810539304,17.3972364714189,21.0632755151981,17.9734836049315,16.1926545760222,21.5290213210925,17.5161413825167,16.4635392018811,20.9991063713682,21.6591977697051,17.4678942979576,16.9865635280481,17.5297130098422,21.8684710464341,21.1266544405369,21.012124295849,17.2950238801913,16.5368737794542
